id,longitude,latitude,median_einkommen_eur,einwohner_pro_km2,anzahl_laeden,stadtteil_label
1,13.4374,52.4756,2268,7827,23,Neukölln
2,13.4077,52.5402,3971,7470,43,Prenzlauer Berg
3,13.602,52.5144,1859,3322,9,Marzahn
4,13.26,52.47,2947,10077,49,Ausreißer
5,13.4511,52.4819,2236,5477,19,Neukölln
6,13.4334,52.5489,3077,7591,54,Prenzlauer Berg
7,13.3768,52.5698,3356,4840,17,Pankow
8,13.4103,52.5655,2232,4713,23,Pankow
9,13.4027,52.4952,2541,7102,26,Kreuzberg
10,13.3872,52.5651,3439,5762,18,Pankow
11,13.532,52.5575,2140,4248,15,Marzahn
12,13.413,52.5219,3690,11537,46,Innenstadt
13,13.4509,52.5259,3035,9123,42,Prenzlauer Berg
14,13.4148,52.5245,5281,9173,76,Innenstadt
15,13.4117,52.5271,3818,9289,88,Innenstadt
16,13.4528,52.5359,3609,8454,28,Prenzlauer Berg
17,13.4359,52.5325,2947,7626,27,Prenzlauer Berg
18,13.1756,52.5385,2235,3390,12,Spandau
19,13.2773,52.5238,4433,5626,34,Charlottenburg
20,13.2742,52.523,4239,5303,49,Charlottenburg
21,13.3746,52.4953,2458,7478,50,Kreuzberg
22,13.4009,52.5225,4245,11054,58,Innenstadt
23,13.4006,52.5722,2942,5265,20,Pankow
24,13.3988,52.5144,3893,9855,48,Innenstadt
25,13.3974,52.5634,2982,6059,31,Pankow
26,13.4276,52.5271,3312,6213,55,Prenzlauer Berg
27,13.3762,52.4978,2565,5965,44,Kreuzberg
28,13.3995,52.5182,3510,8649,41,Innenstadt
29,13.2671,52.5126,3692,7337,56,Charlottenburg
30,13.4419,52.5395,3564,7038,26,Prenzlauer Berg
31,13.4154,52.5076,1875,6201,32,Kreuzberg
32,13.4135,52.5128,5273,13371,61,Innenstadt
33,13.5536,52.5249,2219,4331,6,Marzahn
34,13.4109,52.5717,2959,5523,29,Pankow
35,13.31,52.484,2439,2509,18,Ausreißer
36,13.4118,52.5144,5246,8606,68,Innenstadt
37,13.4313,52.5449,3972,7511,54,Prenzlauer Berg
38,13.4471,52.4828,1861,6417,45,Neukölln
39,13.3772,52.5663,3513,7158,33,Pankow
40,13.4432,52.4798,1522,5647,29,Neukölln
41,13.4027,52.5125,3794,10560,85,Innenstadt
42,13.1314,52.5401,2621,3263,20,Spandau
43,13.4217,52.4725,2220,5209,33,Neukölln
44,13.3865,52.5676,2292,4159,19,Pankow
45,13.4266,52.4794,2403,7902,33,Neukölln
46,13.2827,52.5203,4542,8206,67,Charlottenburg
47,13.2921,52.5085,4040,7055,69,Charlottenburg
48,13.1761,52.5221,2211,2921,14,Spandau
49,13.3802,52.5236,4674,13542,74,Innenstadt
50,13.3944,52.494,2262,7613,34,Kreuzberg
51,13.4276,52.4893,1781,8836,38,Neukölln
52,13.3993,52.5225,4734,8879,61,Innenstadt
53,13.2781,52.5093,3377,6641,36,Charlottenburg
54,13.4353,52.4697,2004,6505,34,Neukölln
55,13.4051,52.5241,5031,12962,63,Innenstadt
56,13.4534,52.4825,2328,5540,31,Neukölln
57,13.4083,52.5812,2568,7149,19,Pankow
58,13.3089,52.4988,3442,5731,64,Charlottenburg
59,13.4359,52.4752,2314,7448,36,Neukölln
60,13.5896,52.5227,2567,3405,18,Marzahn
61,13.4093,52.5378,2896,9982,47,Prenzlauer Berg
62,13.4096,52.5173,5373,8472,75,Innenstadt
63,13.2813,52.5321,4980,8715,51,Charlottenburg
64,13.2197,52.535,2561,3311,11,Spandau
65,13.4283,52.4732,2404,6887,20,Neukölln
66,13.4328,52.5324,2920,8146,27,Prenzlauer Berg
67,13.378,52.5701,3580,5763,40,Pankow
68,13.3977,52.52,4573,9219,55,Innenstadt
69,13.4127,52.5188,4276,11089,75,Innenstadt
70,13.4354,52.5357,3444,6064,38,Prenzlauer Berg
71,13.468,52.5308,3275,9435,29,Prenzlauer Berg
72,13.4492,52.4669,2137,8118,23,Neukölln
73,13.4018,52.5206,4640,12544,72,Innenstadt
74,13.4574,52.5377,3084,7101,44,Prenzlauer Berg
75,13.43,52.5496,2813,9886,50,Prenzlauer Berg
76,13.4201,52.5677,3326,4110,38,Pankow
77,13.4621,52.4929,2319,7449,30,Neukölln
78,13.3854,52.5812,3081,4433,15,Pankow
79,13.4286,52.483,2005,6703,44,Neukölln
80,13.2289,52.5665,2253,2275,14,Spandau
81,13.302,52.4976,3674,8267,55,Charlottenburg
82,13.3979,52.5037,2899,5765,43,Kreuzberg
83,13.4074,52.4913,3176,5548,40,Kreuzberg
84,13.5567,52.5513,2492,3059,11,Marzahn
85,13.4036,52.4989,2957,5126,34,Kreuzberg
86,13.3752,52.4875,2670,5419,35,Kreuzberg
87,13.5443,52.5326,2099,3685,13,Marzahn
88,13.5034,52.522,2050,5071,18,Marzahn
89,13.3066,52.499,4979,8170,35,Charlottenburg
90,13.2745,52.5341,3294,5407,70,Charlottenburg
91,13.336,52.5162,3306,6623,70,Charlottenburg
92,13.4445,52.486,1611,6283,26,Neukölln
93,13.1971,52.538,2443,4523,19,Spandau
94,13.3986,52.4973,2308,7266,38,Kreuzberg
95,13.3986,52.5816,2228,5073,21,Pankow
96,13.4226,52.5747,2616,7990,40,Pankow
97,13.4125,52.515,4300,12804,80,Innenstadt
98,13.5435,52.5445,2186,4258,13,Marzahn
99,13.2905,52.5186,4375,7761,37,Charlottenburg
100,13.3992,52.4965,2459,6016,46,Kreuzberg
101,13.4474,52.5357,3436,7340,30,Prenzlauer Berg
102,13.4454,52.4744,2407,8937,16,Neukölln
103,13.1593,52.5429,1753,4424,23,Spandau
104,13.4378,52.4862,2133,8951,39,Neukölln
105,13.2986,52.5098,3503,5373,45,Charlottenburg
106,13.1768,52.5256,1867,2811,17,Spandau
107,13.4008,52.5236,5157,9055,45,Innenstadt
108,13.3172,52.5147,4181,5249,35,Charlottenburg
109,13.4569,52.5333,3792,7409,57,Prenzlauer Berg
110,13.4384,52.5701,2920,7881,33,Pankow
111,13.4122,52.5234,5442,9542,71,Innenstadt
112,13.4357,52.5402,3090,9171,32,Prenzlauer Berg
113,13.4224,52.4728,1772,7467,25,Neukölln
114,13.4263,52.5354,2959,6974,47,Prenzlauer Berg
115,13.4098,52.5316,5000,11437,50,Innenstadt
116,13.4065,52.5266,5318,11075,50,Innenstadt
117,13.5634,52.5243,2103,5211,20,Marzahn
118,13.3948,52.5244,5228,8946,59,Innenstadt
119,13.4328,52.48,2375,6224,17,Neukölln
120,13.4214,52.5383,4187,8540,34,Prenzlauer Berg
121,13.4285,52.5379,3594,8278,50,Prenzlauer Berg
122,13.4349,52.4835,1479,6621,43,Neukölln
123,13.4005,52.4995,2436,6148,51,Kreuzberg
124,13.3977,52.5164,5017,11968,88,Innenstadt
125,13.4235,52.5182,3907,10244,63,Innenstadt
126,13.4106,52.5139,4291,8406,50,Innenstadt
127,13.415,52.5372,3363,7735,49,Prenzlauer Berg
128,13.3087,52.5144,3585,5614,63,Charlottenburg
129,13.4406,52.536,3971,9342,37,Prenzlauer Berg
130,13.4339,52.4787,2349,8486,18,Neukölln
131,13.4008,52.502,2885,6222,46,Kreuzberg
132,13.4189,52.4725,2226,6757,45,Neukölln
133,13.5068,52.5536,2139,3028,8,Marzahn
134,13.4166,52.49,2688,8637,28,Kreuzberg
135,13.4331,52.5409,4132,9244,27,Prenzlauer Berg
136,13.3275,52.4975,4556,7131,47,Charlottenburg
137,13.4033,52.5237,5202,12285,52,Innenstadt
