Produkt,Region,Q1_2024,Q2_2024,Q3_2024,Q4_2024
Laptop,Nord,47600,56200,52900,51000
Laptop,Süd,38300,38300,37100,47400
Laptop,West,46400,47800,38500,51300
Laptop,Ost,42100,34900,34600,34600
Smartphone,Nord,39300,42100,40900,39200
Smartphone,Süd,37300,32200,33800,34700
Smartphone,West,37500,41300,34600,38200
Smartphone,Ost,33200,27900,33300,29100
Tablet,Nord,21000,27500,27600,26400
Tablet,Süd,19700,18400,22100,20500
Tablet,West,19500,22000,18900,24700
Tablet,Ost,17300,19600,17600,18800
Monitor,Nord,16700,14900,18800,17900
Monitor,Süd,16100,15900,14700,16100
Monitor,West,13100,13600,13000,14200
Monitor,Ost,12300,11900,14000,12200
Tastatur,Nord,5100,5600,4900,6000
Tastatur,Süd,4100,5400,5100,4300
Tastatur,West,4300,5500,5300,5300
Tastatur,Ost,4600,3700,4100,3800
